JobTitle,Company,Location,PostDate,ExtractDate,Summary,Salary,JobUrl
Analytics Advocate,Littledata,Remote,15 days ago,2021-01-22,"Littledata is a popular ecommerce analytics app for Shopify stores, providing a reliable data pipeline to Google Analytics and Segment.",,https://ie.indeed.com/rc/clk?jk=200b46717e340a65&fccid=0f0b2a5148bd7878&vjs=3
Data Analyst,Morgan McKinley,"South Dublin, County Dublin",Today,2021-01-22,2: Ideally 3-5 years data analytics and modelling experience. 5: Coming from a data analyst / analytics / BI background. Principal Consultant: Data and Python.,,https://ie.indeed.com/rc/clk?jk=bb57d746e72e463e&fccid=893f9f3cd9fe4472&vjs=3
Data Scientist,Hewlett Packard Enterprise,Galway,10 days ago,2021-01-22,Develop custom data models and algorithms to apply to data sets. Assess the effectiveness and accuracy of new data sources and data gathering techniques.,,https://ie.indeed.com/rc/clk?jk=dd26a553dae3aff1&fccid=216eb700022de6f6&vjs=3
Manufacturing Process and Data Analytics Engineer,Zenith Technologies,"Park, County Wexford",30+ days ago,2021-01-22,Leveraging automation & data historian systems to build logic phases. Demonstrated ability extracting and cleaning data from systems such as OSI PI.,,https://ie.indeed.com/rc/clk?jk=3debee1dcc04acf3&fccid=e8ff082835412e8e&vjs=3
LTV Data Analyst,Logitech,Cork,7 days ago,2021-01-22,"Extract data sets from multiple data platforms and perform data cleaning and quality. 1-2 years of experience in a Data Analyst role, with a focus on building…",,https://ie.indeed.com/rc/clk?jk=21c650c56cbe96e5&fccid=30f93a2656b8e223&vjs=3
BI Developer,Lionbridge Technologies,Dublin,1 day ago,2021-01-22,"Intermediate programming in R, Python or similar programming language used in data analytics. Organize and drive successful completion of data insight…",,https://ie.indeed.com/rc/clk?jk=4156c9ecd4e7d605&fccid=52f57f86717b2054&vjs=3
"Graduate, Digital Transformation - Dublin",Grant Thornton,Dublin,Today,2021-01-22,"Have a degree or equivalent in a computing, business & computing, data or STEM subject. A number of exciting opportunities have arisen to join as Junior…",,https://ie.indeed.com/rc/clk?jk=f2c62600bbecb8a1&fccid=7ac82fceed64aa81&vjs=3
Manufacturing Process and Data Analytics Engineer,Zenith Technologies,"Park, County Wexford",30+ days ago,2021-01-22,Leveraging automation & data historian systems to build logic phases. Demonstrated ability extracting and cleaning data from systems such as OSI PI.,,https://ie.indeed.com/rc/clk?jk=3debee1dcc04acf3&fccid=e8ff082835412e8e&vjs=3
LTV Data Analyst,Logitech,Cork,7 days ago,2021-01-22,"Extract data sets from multiple data platforms and perform data cleaning and quality. 1-2 years of experience in a Data Analyst role, with a focus on building…",,https://ie.indeed.com/rc/clk?jk=21c650c56cbe96e5&fccid=30f93a2656b8e223&vjs=3
BI Developer,Lionbridge Technologies,Dublin,1 day ago,2021-01-22,"Intermediate programming in R, Python or similar programming language used in data analytics. Organize and drive successful completion of data insight…",,https://ie.indeed.com/rc/clk?jk=4156c9ecd4e7d605&fccid=52f57f86717b2054&vjs=3
"Graduate, Digital Transformation - Dublin",Grant Thornton,Dublin,Today,2021-01-22,"Have a degree or equivalent in a computing, business & computing, data or STEM subject. A number of exciting opportunities have arisen to join as Junior…",,https://ie.indeed.com/rc/clk?jk=f2c62600bbecb8a1&fccid=7ac82fceed64aa81&vjs=3
Data Scientist - FMCG Insights,IT Search,Dublin,9 days ago,2021-01-22,"Your application will be handled in strictest confidence & we will be happy to advise you on your career & direction in data analytics, data science, data…",,https://ie.indeed.com/rc/clk?jk=1287d3c127983df0&fccid=ee957c77025fe0aa&vjs=3
Logistics Analyst,Facebook,"Clonee, County Meath",1 day ago,2021-01-22,"This position requires excellent communication and collaboration skills, a natural orientation to data analytics, project management, process optimisation along…",,https://ie.indeed.com/rc/clk?jk=0b84efed2d15a74a&fccid=1639254ea84748b5&vjs=3
Social Media and Marketing Assistant,NL,"Clonmel, County Tipperary",Just posted,2021-01-22,Recommending and implementing changes and improvements based on data insights. Our company is seeking an enthusiastic Social Media & Marketing Person to join…,,https://ie.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B3j_4v8_LrkkZL8AdvxFRlJsiFiRsqPvRcVY-C-fXHo3y4kdFnFzOpH9dcLWGtKTCZHuAA2Wx0-iqatMfFIS_AwObXw4i6LqaWzKIrUFT8jJubR_15F6NQXW1fMsUwItHXzHfHoHoXEkXtlgfI_m3U94lMZULOnehD1FmLp-c8JpXEysKY8tXiioN34LUvup06L6pAUyYyxCgUO6iTbPd8MsZygBNaZDcLKg5LPixVPo44c_UAcs28j2zzC2xJ_YB3fyzM2ahSe_CRPJL2sQ4DQQ8HXji4663ZD0n3dliPUzJMxiVE5-kihyFyN0UWPWFi7K5SbpU6pwTqL3II-q8I83GEaC4enGBq9xMrss-X0eV01Zf2mVGEekbdDqeic6lN4t85H5EY75M4umUCsf8xdVvPuwNiuSLRKKY0yNuhuYDOwskkckUhfquBdhFnpuQ8CW0xJcbJKzuCwnalBzXu&p=6&fvj=1&vjs=3
